"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular/animations","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cdk","7.3.7","MIT","Copyright (c) 2023 Google LLC.","https://www.npmjs.com/package/%40angular%2Fcdk"
"nodejs","@angular/common","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/elements","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Felements"
"nodejs","@angular/forms","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/localize","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Flocalize"
"nodejs","@angular/platform-browser","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","13.3.11","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@babel/core","7.17.2","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/runtime","7.17.8","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
