"LANGUAGE","NAME","VERSION","LICENSES","COPYRIGHTS","URL"
"nodejs","@angular-devkit/schematics","12.2.17","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular-devkit%2Fschematics"
"nodejs","@angular/animations","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fanimations"
"nodejs","@angular/cli","13.3.7","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40angular%2Fcli"
"nodejs","@angular/common","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcommon"
"nodejs","@angular/compiler","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcompiler"
"nodejs","@angular/core","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fcore"
"nodejs","@angular/elements","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Felements"
"nodejs","@angular/forms","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fforms"
"nodejs","@angular/localize","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Flocalize"
"nodejs","@angular/platform-browser","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser"
"nodejs","@angular/platform-browser-dynamic","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Fplatform-browser-dynamic"
"nodejs","@angular/router","13.3.10","MIT","Copyright (c) 2010-2023 Google LLC. https://angular.io/license","https://www.npmjs.com/package/%40angular%2Frouter"
"nodejs","@babel/core","7.17.2","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fcore"
"nodejs","@babel/generator","7.18.2","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fgenerator"
"nodejs","@babel/runtime","7.17.7","MIT","Copyright (c) 2014-present Sebastian McKenzie and other contributors","https://www.npmjs.com/package/%40babel%2Fruntime"
"nodejs","@formio/angular","5.2.2","MIT","Copyright (c) 2017 Form.io","https://www.npmjs.com/package/%40formio%2Fangular"
"nodejs","@formio/bootstrap3","2.12.2","MIT","Copyright (c) 2020 Form.io","https://www.npmjs.com/package/%40formio%2Fbootstrap3"
"nodejs","@formio/choices.js","9.0.1","MIT","Copyright (c) 2016 Josh Johnson","https://www.npmjs.com/package/%40formio%2Fchoices.js"
"nodejs","@formio/semantic","2.6.0","MIT","Copyright (c) 2020 Form.io","https://www.npmjs.com/package/%40formio%2Fsemantic"
"nodejs","@formio/vanilla-text-mask","5.1.1","Unlicense","","https://www.npmjs.com/package/%40formio%2Fvanilla-text-mask"
"nodejs","@fortawesome/angular-fontawesome","0.10.2","MIT","Copyright (c) 2018 Fonticons, Inc. and contributors","https://www.npmjs.com/package/%40fortawesome%2Fangular-fontawesome"
"nodejs","@fortawesome/fontawesome-common-types","0.2.36","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffontawesome-common-types"
"nodejs","@fortawesome/fontawesome-svg-core","1.2.36","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffontawesome-svg-core"
"nodejs","@fortawesome/free-brands-svg-icons","5.15.4","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffree-brands-svg-icons"
"nodejs","@fortawesome/free-solid-svg-icons","5.15.4","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/%40fortawesome%2Ffree-solid-svg-icons"
"nodejs","@jridgewell/gen-mapping","0.3.1","MIT","Copyright 2022 Justin Ridgewell <jridgewell@google.com>","https://www.npmjs.com/package/%40jridgewell%2Fgen-mapping"
"nodejs","@ng-bootstrap/ng-bootstrap","11.0.1","MIT","Copyright (c) 2015-2018 Angular ng-bootstrap team","https://www.npmjs.com/package/%40ng-bootstrap%2Fng-bootstrap"
"nodejs","@ng-select/ng-select","8.0.0","MIT","Copyright (c) Andžej Maciusovič","https://www.npmjs.com/package/%40ng-select%2Fng-select"
"nodejs","@npmcli/fs","2.1.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Ffs"
"nodejs","@npmcli/git","2.1.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fgit"
"nodejs","@npmcli/installed-package-contents","1.0.7","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Finstalled-package-contents"
"nodejs","@npmcli/move-file","2.0.0","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fmove-file"
"nodejs","@npmcli/node-gyp","1.0.3","ISC","Copyright (c) 2023 by GitHub Inc.","https://www.npmjs.com/package/%40npmcli%2Fnode-gyp"
"nodejs","@npmcli/promise-spawn","1.3.2","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Fpromise-spawn"
"nodejs","@npmcli/run-script","2.0.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/%40npmcli%2Frun-script"
"nodejs","@popperjs/core","2.11.5","MIT","Copyright (c) 2021 Floating UI contributors","https://www.npmjs.com/package/%40popperjs%2Fcore"
"nodejs","@schematics/angular","12.2.17","MIT","Copyright (c) 2017 Google, Inc.","https://www.npmjs.com/package/%40schematics%2Fangular"
"nodejs","@sphinxxxx/color-conversion","2.2.2","ISC","Copyright 2017Released under the license./;","https://www.npmjs.com/package/%40sphinxxxx%2Fcolor-conversion"
"nodejs","@splidejs/splide","3.6.12","MIT","Copyright (c) 2022 Naotoshi Fujita","https://www.npmjs.com/package/%40splidejs%2Fsplide"
"nodejs","@tootallnate/once","1.1.2","MIT","Copyright (c) 2020 Nathan Rajlich","https://www.npmjs.com/package/%40tootallnate%2Fonce"
"nodejs","@tootallnate/once","2.0.0","MIT","Copyright (c) 2020 Nathan Rajlich","https://www.npmjs.com/package/%40tootallnate%2Fonce"
"nodejs","@webcomponents/custom-elements","1.5.0","BSD-3-Clause","Copyright (c) 2015 The Polymer Authors. All rights reserved.","https://www.npmjs.com/package/%40webcomponents%2Fcustom-elements"
"nodejs","@yarnpkg/lockfile","1.1.0","BSD-2-Clause","Copyright (c) 2016-present, Yarn Contributors. All rights reserved.","https://www.npmjs.com/package/%40yarnpkg%2Flockfile"
"nodejs","abbrev","1.1.1","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/abbrev"
"nodejs","accessible-autocomplete","2.0.4","MIT","Copyright (c) 2017 Crown Copyright (Government Digital Service)","https://www.npmjs.com/package/accessible-autocomplete"
"nodejs","agent-base","4.3.0","MIT","","https://www.npmjs.com/package/agent-base"
"nodejs","agent-base","6.0.2","MIT","","https://www.npmjs.com/package/agent-base"
"nodejs","agentkeepalive","4.2.1","MIT","Copyright(c) node-modules and other contributors.Copyright(c) 2012 - 2015 fengmk2 <fengmk2@gmail.com>","https://www.npmjs.com/package/agentkeepalive"
"nodejs","angularx-social-login","4.1.0","MIT","Copyright (c) 20142016 Google, Inc.","https://www.npmjs.com/package/angularx-social-login"
"nodejs","animejs","3.2.1","MIT","Copyright (c) 2019 Julian Garnier","https://www.npmjs.com/package/animejs"
"nodejs","aproba","2.0.0","ISC","Copyright (c) 2015, Rebecca Turner <me@re-becca.org>","https://www.npmjs.com/package/aproba"
"nodejs","are-we-there-yet","3.0.0","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/are-we-there-yet"
"nodejs","atoa","1.0.0","MIT","Copyright Copyright 2015 Nicolas Bevacqua","https://www.npmjs.com/package/atoa"
"nodejs","autocompleter","6.1.2","MIT","Copyright (c) 2016 Denys Krasnoshchok","https://www.npmjs.com/package/autocompleter"
"nodejs","bootstrap","5.1.3","MIT","Copyright (c) 2011-2023 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","bootstrap","5.2.0","MIT","Copyright (c) 2011-2023 The Bootstrap Authors","https://www.npmjs.com/package/bootstrap"
"nodejs","bootstrap-italia","2.0.2","BSD-3-Clause","Copyright (c) 2022, the respective contributors, as shown by the AUTHORS file.","https://www.npmjs.com/package/bootstrap-italia"
"nodejs","brace-expansion","2.0.1","MIT","Copyright (c) 2013 Julian Gruber <julian@juliangruber.com>","https://www.npmjs.com/package/brace-expansion"
"nodejs","browser-cookies","1.2.0","Unlicense","","https://www.npmjs.com/package/browser-cookies"
"nodejs","browser-md5-file","1.1.1","MIT","Copyright (c) 2016 forsigner","https://www.npmjs.com/package/browser-md5-file"
"nodejs","builtins","1.0.3","MIT","Copyright (c) 2015 Julian Gruber","https://www.npmjs.com/package/builtins"
"nodejs","cacache","16.1.0","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/cacache"
"nodejs","color-support","1.1.3","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/color-support"
"nodejs","compare-versions","4.1.3","MIT","Copyright (c) 2015-2021 Ole Michelsen","https://www.npmjs.com/package/compare-versions"
"nodejs","console-control-strings","1.1.0","ISC","Copyright (c) 2014, Rebecca Turner <me@re-becca.org>","https://www.npmjs.com/package/console-control-strings"
"nodejs","contra","1.9.4","MIT","Copyright Copyright 2014 Nicolas Bevacqua","https://www.npmjs.com/package/contra"
"nodejs","core-js","3.21.1","MIT","Copyright (c) 2014-2023 Denis Pushkarev","https://www.npmjs.com/package/core-js"
"nodejs","crossvent","1.5.5","MIT","Copyright Copyright 2014 Nicolas Bevacqua","https://www.npmjs.com/package/crossvent"
"nodejs","custom-event-polyfill","1.0.7","MIT","Copyright (c) 2016 Evan Krambuhl","https://www.npmjs.com/package/custom-event-polyfill"
"nodejs","deep-equal","1.1.1","MIT","Copyright (c) 2012, 2013, 2014 James Halliday <mail@substack.net>, 2009 Thomas Robinson <280north.com>","https://www.npmjs.com/package/deep-equal"
"nodejs","deepmerge","4.2.2","MIT","Copyright (c) 2012 James Halliday, Josh Duff, and other contributors","https://www.npmjs.com/package/deepmerge"
"nodejs","delegates","1.0.0","MIT","Copyright (c) 2015 TJ Holowaychuk","https://www.npmjs.com/package/delegates"
"nodejs","desandro-matches-selector","2.0.2","MIT","","https://www.npmjs.com/package/desandro-matches-selector"
"nodejs","dialog-polyfill","0.5.6","BSD-3-Clause","Copyright 2015 Google Inc. All rights reserved.","https://www.npmjs.com/package/dialog-polyfill"
"nodejs","dompurify","2.3.6","Apache-2.0","Copyright 2023 Dr.-Ing. Mario Heiderich, Cure53","https://www.npmjs.com/package/dompurify"
"nodejs","downloadjs","1.4.7","MIT","Copyright (c) 2016 dandavis","https://www.npmjs.com/package/downloadjs"
"nodejs","dragula","3.7.3","MIT","Copyright Copyright 2015-2016 Nicolas Bevacqua","https://www.npmjs.com/package/dragula"
"nodejs","encoding","0.1.13","MIT","Copyright (c) 2012-2014 Andris Reinman","https://www.npmjs.com/package/encoding"
"nodejs","env-paths","2.2.1","MIT","Copyright (c) Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)","https://www.npmjs.com/package/env-paths"
"nodejs","err-code","2.0.3","MIT","","https://www.npmjs.com/package/err-code"
"nodejs","ev-emitter","1.1.1","MIT","Copyright (c) 2016-2021 [David DeSandro](https://desandro.com)","https://www.npmjs.com/package/ev-emitter"
"nodejs","fast-diff","1.2.0","Apache-2.0","Copyright 2014-2023 Jason Chen","https://www.npmjs.com/package/fast-diff"
"nodejs","fast-json-patch","3.1.0","MIT","Copyright (c) 2013, 2014, 2020 Joachim Wester","https://www.npmjs.com/package/fast-json-patch"
"nodejs","fetch-ponyfill","7.1.0","MIT","Copyright (c) 2017 Mark Stanley Everitt","https://www.npmjs.com/package/fetch-ponyfill"
"nodejs","fizzy-ui-utils","2.0.7","MIT","","https://www.npmjs.com/package/fizzy-ui-utils"
"nodejs","font-awesome","4.7.0","MIT","Copyright (c) 2023 Fonticons, Inc. (https://fontawesome.com)with Reserved Font Name: Font Awesome.","https://www.npmjs.com/package/font-awesome"
"nodejs","formiojs","4.14.8","MIT","Copyright (c) 2018 Form.io","https://www.npmjs.com/package/formiojs"
"nodejs","fuse.js","3.6.1","Apache-2.0","Copyright 2017 Kirollos Risk","https://www.npmjs.com/package/fuse.js"
"nodejs","gauge","4.0.4","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/gauge"
"nodejs","get-size","2.0.3","MIT","Copyright (c) 2012-2021 [David DeSandro](https://desandro.com) and [contributors](https://github.com/desandro/get-size/graphs/contributors)","https://www.npmjs.com/package/get-size"
"nodejs","glob","8.0.3","ISC","Copyright (c) 2009-2023 Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/glob"
"nodejs","has-unicode","2.0.1","ISC","Copyright (c) 2014, Rebecca Turner <me@re-becca.org>","https://www.npmjs.com/package/has-unicode"
"nodejs","hosted-git-info","4.1.0","ISC","Copyright (c) 2015, Rebecca Turner","https://www.npmjs.com/package/hosted-git-info"
"nodejs","http-cache-semantics","4.1.0","BSD-2-Clause","Copyright 2016-2018 Kornel Lesiński","https://www.npmjs.com/package/http-cache-semantics"
"nodejs","http-proxy-agent","5.0.0","MIT","","https://www.npmjs.com/package/http-proxy-agent"
"nodejs","https-proxy-agent","5.0.1","MIT","Copyright (c) 2013 Nathan Rajlich lt;nathantootallnate.netgt;","https://www.npmjs.com/package/https-proxy-agent"
"nodejs","humanize-ms","1.2.1","MIT","Copyright(c) nodemodules and other contributors.MIT Licensed","https://www.npmjs.com/package/humanize-ms"
"nodejs","i18next","21.6.14","MIT","Copyright (c) 2023 i18next","https://www.npmjs.com/package/i18next"
"nodejs","iconv-lite","0.6.3","MIT","Copyright (c) 2011 Alexander Shtuchkin","https://www.npmjs.com/package/iconv-lite"
"nodejs","idb","6.1.5","ISC","Copyright (c) 2016, Jake Archibald <jaffathecake@gmail.com>","https://www.npmjs.com/package/idb"
"nodejs","ignore-walk","4.0.1","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/ignore-walk"
"nodejs","ini","2.0.0","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/ini"
"nodejs","inquirer","8.2.0","MIT","Copyright (c) 2023 Simon Boudrias","https://www.npmjs.com/package/inquirer"
"nodejs","is-lambda","1.0.1","MIT","Copyright (c) 2016-2017 Thomas Watson Steen","https://www.npmjs.com/package/is-lambda"
"nodejs","ismobilejs","1.1.1","MIT","Copyright (c) 2019 Kai Mallea","https://www.npmjs.com/package/ismobilejs"
"nodejs","jquery","3.6.0","MIT","Copyright OpenJS Foundation and other contributors, https://openjsf.org/","https://www.npmjs.com/package/jquery"
"nodejs","json-logic-js","2.0.2","MIT","Copyright (c) 2015 Jeremy Wadhams","https://www.npmjs.com/package/json-logic-js"
"nodejs","jsonparse","1.3.1","MIT","Copyright (c) 2012 Tim Caswell","https://www.npmjs.com/package/jsonparse"
"nodejs","jstimezonedetect","1.0.7","MIT","Copyright (c) Jon Nylander/","https://www.npmjs.com/package/jstimezonedetect"
"nodejs","just-validate","3.8.1","MIT","Copyright (c) 2017 Horprogs","https://www.npmjs.com/package/just-validate"
"nodejs","jwt-decode","3.1.2","MIT","Copyright (c) 2015 Auth0, Inc. <support@auth0.com> (http://auth0.com)","https://www.npmjs.com/package/jwt-decode"
"nodejs","lodash","4.17.21","MIT","Copyright and related rights for sample code are waived via CC0. Samplecode is defined as all source code displayed within the prose of thedocumentation.","https://www.npmjs.com/package/lodash"
"nodejs","lru-cache","6.0.0","ISC","Copyright (c) 2010-2023 Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/lru-cache"
"nodejs","lru-cache","7.10.1","ISC","Copyright (c) 2010-2023 Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/lru-cache"
"nodejs","make-fetch-happen","10.1.5","ISC","Copyright 2017-2022 (c) npm, Inc.","https://www.npmjs.com/package/make-fetch-happen"
"nodejs","make-fetch-happen","9.1.0","ISC","Copyright 2017-2022 (c) npm, Inc.","https://www.npmjs.com/package/make-fetch-happen"
"nodejs","masonry-layout","4.2.2","MIT","","https://www.npmjs.com/package/masonry-layout"
"nodejs","minimatch","5.1.0","ISC","Copyright (c) 2011-2023 Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/minimatch"
"nodejs","minipass-collect","1.0.2","ISC","","https://www.npmjs.com/package/minipass-collect"
"nodejs","minipass-fetch","1.4.1","MIT","Copyright (c) Isaac Z. Schlueter and ContributorsCopyright (c) 2016 David Frank","https://www.npmjs.com/package/minipass-fetch"
"nodejs","minipass-flush","1.0.5","ISC","Copyright (c) 2019-2022 Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/minipass-flush"
"nodejs","minipass-json-stream","1.0.1","MIT","","https://www.npmjs.com/package/minipass-json-stream"
"nodejs","minipass-pipeline","1.2.4","ISC","","https://www.npmjs.com/package/minipass-pipeline"
"nodejs","minipass-sized","1.0.3","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/minipass-sized"
"nodejs","minizlib","2.1.2","MIT","Copyright (c) 2017-2022 Joyent, Inc. and other Node contributors","https://www.npmjs.com/package/minizlib"
"nodejs","mkdirp","1.0.4","MIT","Copyright (c) 2011-2023 James Halliday (mail@substack.net) and Isaac Z. Schlueter (i@izs.me)","https://www.npmjs.com/package/mkdirp"
"nodejs","moment","2.29.4","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment"
"nodejs","moment-timezone","0.5.37","MIT","Copyright (c) JS Foundation and other contributors","https://www.npmjs.com/package/moment-timezone"
"nodejs","native-promise-only","0.8.1","MIT","","https://www.npmjs.com/package/native-promise-only"
"nodejs","ng-event-bus","4.0.0","MIT","Copyright (c) 2021-2023 Cristiam Mercado","https://www.npmjs.com/package/ng-event-bus"
"nodejs","ng-http-loader","11.0.0","MIT","Copyright (c) 2017-2023 mpalourdio","https://www.npmjs.com/package/ng-http-loader"
"nodejs","ngx-cookie-service","13.2.1","MIT","Copyright (c) 2020 Studytube BV","https://www.npmjs.com/package/ngx-cookie-service"
"nodejs","node-fetch","2.6.7","MIT","Copyright (c) 2016 - 2020 Node Fetch Team","https://www.npmjs.com/package/node-fetch"
"nodejs","node-gyp","8.4.1","MIT","Copyright (c) 2012 Nathan Rajlich <nathan@tootallnate.net>","https://www.npmjs.com/package/node-gyp"
"nodejs","nopt","5.0.0","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/nopt"
"nodejs","npm-bundled","1.1.2","ISC","Copyright (c) npm, Inc. and Contributors","https://www.npmjs.com/package/npm-bundled"
"nodejs","npm-install-checks","4.0.0","BSD-2-Clause","Copyright (c) Robert Kowalski and Isaac Z. Schlueter (""Authors"")All rights reserved.","https://www.npmjs.com/package/npm-install-checks"
"nodejs","npm-normalize-package-bin","1.0.1","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/npm-normalize-package-bin"
"nodejs","npm-package-arg","8.1.5","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/npm-package-arg"
"nodejs","npm-packlist","3.0.0","ISC","Copyright (c) Isaac Z. Schlueter and Contributors","https://www.npmjs.com/package/npm-packlist"
"nodejs","npm-pick-manifest","6.1.1","ISC","Copyright (c) npm, Inc.","https://www.npmjs.com/package/npm-pick-manifest"
"nodejs","npm-registry-fetch","12.0.2","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/npm-registry-fetch"
"nodejs","npmlog","6.0.2","ISC","Copyright npm, Inc.","https://www.npmjs.com/package/npmlog"
"nodejs","outlayer","2.1.1","MIT","","https://www.npmjs.com/package/outlayer"
"nodejs","pacote","12.0.3","ISC","Copyright (c) Isaac Z. Schlueter, Kat Marchán, npm, Inc., and Contributors","https://www.npmjs.com/package/pacote"
"nodejs","parchment","2.0.0-dev.2","BSD-3-Clause","Copyright (c) 2015-2021, Jason ChenCopyright (c) 2022, Slab, Inc.All rights reserved.","https://www.npmjs.com/package/parchment"
"nodejs","preact","8.5.3","MIT","Copyright (c) 2015-present Jason Miller","https://www.npmjs.com/package/preact"
